0.005	223
0.005	225
0.005	222
0.005	220
0.005	219
0.005	222
0.005	222
0.005	219
0.005	214
0.005	216
0.005	220.2 <- avarege
0.01	327
0.01	319
0.01	322
0.01	326
0.01	317
0.01	318
0.01	322
0.01	326
0.01	316
0.01	319
0.01	321.2 <- avarege
0.015	391
0.015	399
0.015	403
0.015	412
0.015	388
0.015	397
0.015	401
0.015	394
0.015	395
0.015	402
0.015	398.2 <- avarege
0.02	459
0.02	466
0.02	460
0.02	471
0.02	447
0.02	448
0.02	450
0.02	449
0.02	450
0.02	451
0.02	455.1 <- avarege
0.025	493
0.025	502
0.025	511
0.025	492
0.025	496
0.025	503
0.025	516
0.025	494
0.025	499
0.025	508
0.025	501.4 <- avarege
0.03	543
0.03	531
0.03	537
0.03	543
0.03	527
0.03	532
0.03	538
0.03	550
0.03	528
0.03	535
0.03	536.4 <- avarege
0.035	557
0.035	574
0.035	555
0.035	559
0.035	564
0.035	574
0.035	556
0.035	569
0.035	564
0.035	572
0.035	564.4 <- avarege
0.04	591
0.04	581
0.04	586
0.04	592
0.04	604
0.04	582
0.04	588
0.04	595
0.04	591
0.04	598
0.04	590.8 <- avarege
0.045	619
0.045	607
0.045	612
0.045	623
0.045	602
0.045	606
0.045	614
0.045	618
0.045	604
0.045	610
0.045	611.5 <- avarege
0.05	631
0.05	620
0.05	623
0.05	630
0.05	636
0.05	620
0.05	625
0.05	631
0.05	640
0.05	621
0.05	627.7 <- avarege
0.055	651
0.055	638
0.055	638
0.055	645
0.055	652
0.055	634
0.055	640
0.055	646
0.055	657
0.055	637
0.055	643.8 <- avarege
0.06	653
0.06	664
0.06	675
0.06	655
0.06	658
0.06	665
0.06	650
0.06	654
0.06	660
0.06	671
0.06	660.5 <- avarege
0.065	686
0.065	663
0.065	666
0.065	673
0.065	681
0.065	664
0.065	668
0.065	676
0.065	685
0.065	665
0.065	672.7 <- avarege
0.07	677
0.07	691
0.07	690
0.07	703
0.07	677
0.07	684
